YEARS ALIVE,FPE,BTB,FBU,GTA,GPT,FPI,FTE,SRE,FRO,ROR,LUD,FCC,BUD,FIE
1,,,,,,,,,,,,,,
2,,47,,4,4,1,,29,,1,10,,4,
3,,116,16,8,7,3,231,30,2,2,11,4,7,1
4,20,152,16,,,5,273,44,10,2,12,9,12,3
5,26,180,16,,,10,309,69,22,,12,13,,22
6,33,,,,,11,241,227,31,,,17,,29
7,44,,,,,22,369,315,62,,,,,36
8,47,,,,,22,393,,102,,,,,40
9,55,,,,,,,,115,,,,,
10,61,,,,,,,,,,,,,
11,82,,,,,,,,,,,,,
12,92,,,,,,,,,,,,,
